Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;6:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;23:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;2/1/2023;1:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;AFRO;CASADO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;BALZAR;URBANO;CENTROS Y SUBCENTROS DE SALUD;PRIVADO;1/1/2023;22:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;904
ASESINATO;GUAYAS;ALFREDO BAQUERIZO MORENO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;enero;9;902
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;4:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;SIMON BOLIVAR;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;23:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;922
FEMICIDIO;PICHINCHA;RUMIÑAHUI;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;19:28;ARMA BLANCA;CUCHILLO            ;HERIDA POR ARMA BLANCA;35;A;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;enero;17;1705
ASESINATO;ESMERALDAS;ELOY ALFARO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;23:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MULATO/A;SOLTERO;ECUADOR;2023;enero;8;802
ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;20:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;AFRO;CASADO;ECUADOR;2023;enero;8;801
ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;20:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;HOMBRE;AFRO;NO DETERMINADO;ECUADOR;2023;enero;8;801
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;19:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;1:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1201
ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;14:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1201
ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;22:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;28;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1201
HOMICIDIO;LOJA;CATAMAYO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;20:00;OTROS;OTRO;HERIDAS CONTUSAS;61;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;11;1103
ASESINATO;GUAYAS;DAULE;RURAL;FINCA;PRIVADO;2/1/2023;12:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;;A;HOMBRE;AFRO;NO DETERMINADO;NIGERIA;2023;enero;9;906
ASESINATO;ESMERALDAS;RIOVERDE;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;7:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;8;807
ASESINATO;ESMERALDAS;RIOVERDE;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;7:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;AFRO;NO DETERMINADO;ECUADOR;2023;enero;8;807
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;17:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;16:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;701
ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;19:36;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1317
ASESINATO;SUCUMBIOS;LAGO AGRIO;URBANO;CENTROS DE REHABILITACION SOCIAL;PRIVADO;3/1/2023;12:15;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;27;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;21;2101
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;4/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;4/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;4/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;14;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;4:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;15;A;HOMBRE;BLANCO/A;NO DETERMINADO;NO DETERMINADO;2023;enero;9;901
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;15:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;53;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;23;2301
ASESINATO;MANABI;SUCRE;URBANO;VIA PUBLICA;PUBLICO;3/1/2023;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1314
ASESINATO;LOS RIOS;PUEBLO VIEJO;URBANO;CASA/VILLA;PRIVADO;3/1/2023;16:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1204
ASESINATO;MANABI;MONTECRISTI;RURAL;TERRENO BALDIO;PUBLICO;3/1/2023;15:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1309
ASESINATO;SANTA ELENA;LA LIBERTAD;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;4:55;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;42;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;24;2402
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;OTROS LOCALES COMERCIALES;PRIVADO;3/1/2023;19:27;ARMA CONTUNDENTE;OTRO;HERIDAS CONTUSAS;56;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;9;901
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;8:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;701
ASESINATO;GUAYAS;DAULE;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;13:35;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;906
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;13:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;A;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;enero;7;701
ASESINATO;MANABI;MONTECRISTI;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;19:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1309
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;18:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;NO DETERMINADO;NO DETERMINADO;NO DETERMINADO;2023;enero;17;1701
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;19:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;2:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1701
ASESINATO;LOS RIOS;BABAHOYO;RURAL;VIA PUBLICA;PUBLICO;4/1/2023;18:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;12;1201
ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1201
ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;4/1/2023;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;8;801
ASESINATO;LOS RIOS;PUEBLO VIEJO;URBANO;CASA/VILLA;PRIVADO;5/1/2023;12:11;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1204
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;13:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;41;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;7;701
ASESINATO;EL ORO;PASAJE;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;14:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MESTIZO/A;SOLTERO;VENEZUELA;2023;enero;7;709
ASESINATO;SANTA ELENA;LA LIBERTAD;URBANO;CASA/VILLA;PRIVADO;5/1/2023;15:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;24;2402
ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;9:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1205
ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;11:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1317
ASESINATO;MANABI;PORTOVIEJO;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;15:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1301
ASESINATO;CAÑAR;AZOGUES;URBANO;PATIOS DE COMIDAS;PRIVADO;4/1/2023;22:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;3;301
ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;19:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;NO DETERMINADO;ECUADOR;2023;enero;9;904
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;15:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;23;808
ASESINATO;NAPO;TENA;RURAL;VIA PUBLICA;PUBLICO;5/1/2023;22:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;36;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;15;1501
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;15:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;50;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;16:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;21:49;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;701
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;19:05;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;5/1/2023;21:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;PANADERIA;PRIVADO;6/1/2023;5:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;53;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;NARANJAL;RURAL;TERRENO BALDIO;PUBLICO;6/1/2023;7:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;911
ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;0:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1317
ASESINATO;ESMERALDAS;ESMERALDAS;RURAL;VIA PUBLICA;PUBLICO;5/1/2023;12:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;8;801
ASESINATO;ESMERALDAS;ESMERALDAS;RURAL;VIA PUBLICA;PUBLICO;5/1/2023;12:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;8;801
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;12:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;7:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;8;801
ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;10:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;9;907
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;7:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;;A;HOMBRE;NO DETERMINADO;NO DETERMINADO;NO DETERMINADO;2023;enero;9;901
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;17:30;ARMA BLANCA;CUCHILLO            ;HERIDA POR ARMA BLANCA;14;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1701
HOMICIDIO;PICHINCHA;QUITO;URBANO;CASA/VILLA;PRIVADO;7/1/2023;4:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1701
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;7/1/2023;1:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;31;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
HOMICIDIO;ESMERALDAS;ATACAMES;RURAL;VIA PUBLICA;PUBLICO;3/1/2023;2:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;29;A;HOMBRE;MESTIZO/A;NO DETERMINADO;ECUADOR;2023;enero;8;806
ASESINATO;GUAYAS;MILAGRO;URBANO;VIA PUBLICA;PUBLICO;6/1/2023;22:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;31;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;9;910
ASESINATO;ESMERALDAS;ELOY ALFARO;RURAL;VIA PUBLICA;PUBLICO;7/1/2023;7:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;8;802
ASESINATO;EL ORO;ARENILLAS;URBANO;VIA PUBLICA;PUBLICO;7/1/2023;10:38;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;702
ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;7/1/2023;13:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;enero;12;1205
ASESINATO;MANABI;MANTA;URBANO;PLAYA;PUBLICO;7/1/2023;7:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;13;1308
ASESINATO;GUAYAS;SALITRE;RURAL;CASA/VILLA;PRIVADO;8/1/2023;21:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;35;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;919
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;7/1/2023;20:13;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;35;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;17;1701
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;7/1/2023;19:45;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1701
HOMICIDIO;PICHINCHA;QUITO;URBANO;CASA/VILLA;PRIVADO;8/1/2023;2:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;32;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1701
